PyScript,Total Memory(MB),Total Time(s)
plot_logistic.py,137.714844,1.909
plot_multi_task_lasso_support.py,136.496094,1.831
plot_nnls.py,136.640625,1.658
plot_ols_3d.py,141.191406,1.989
plot_ols.py,138.765625,1.651
plot_ols_ridge_variance.py,139.109375,2.129
plot_omp.py,143.476562,2.308
plot_poisson_regression_non_normal_loss.py,895.304688,70.587
plot_ransac.py,139.742188,2.029
plot_ridge_coeffs.py,139.65625,2.222
plot_ridge_path.py,136.679688,1.803
plot_robust_fit.py,174.554688,5.171
plot_sgd_comparison.py,146.117188,24.630
plot_sgd_iris.py,144.371094,2.790
plot_sgd_loss_functions.py,94.210938,0.914
plot_sgd_penalties.py,151.820312,1.082
plot_sgd_separating_hyperplane.py,138.574219,1.806
plot_sgd_weighted_samples.py,151.238281,1.680
plot_sparse_logistic_regression_20newsgroups.py,295.738281,18.561
plot_sparse_logistic_regression_mnist.py,955.570312,27.263
plot_theilsen.py,153.261719,2.279
plot_tweedie_regression_insurance_claims.py,712.394531,38.470
plot_compare_methods.py,224.351562,14.599
plot_lle_digits.py,379.46875,33.927
plot_manifold_sphere.py,178.175781,9.021
plot_mds.py,142.265625,1.660
plot_swissroll.py,145.792969,1.974
plot_t_sne_perplexity.py,153.210938,17.267
plot_changed_only_pprint_parameter.py,76.617188,0.910
plot_display_object_visualization.py,160.222656,2.235
plot_isotonic_regression.py,138.050781,1.648
plot_johnson_lindenstrauss_bound.py,291.5625,20.977
plot_kernel_approximation.py,163.464844,4.167
plot_kernel_ridge_regression.py,1705.910156,47.267
plot_multilabel.py,142.207031,2.311
plot_multioutput_face_completion.py,323.679688,5.478
plot_partial_dependence_visualization_api.py,179.085938,8.011
plot_roc_curve_visualization_api.py,143.828125,1.819
plot_concentration_prior.py,148.085938,15.564
plot_gmm_covariances.py,148.046875,1.915
plot_gmm_pdf.py,144.253906,1.849
plot_gmm.py,144.277344,1.900
plot_gmm_selection.py,143.402344,2.766
plot_gmm_sin.py,146.769531,2.471
grid_search_text_feature_extraction.py,173.597656,44.060
plot_cv_predict.py,140.070312,2.067
plot_det.py,144.785156,1.748
plot_grid_search_digits.py,86.414062,4.766
plot_grid_search_refit_callable.py,147.21875,9.007
plot_grid_search_stats.py,167.929688,3.997
plot_learning_curve.py,148.023438,11.891
plot_multi_metric_evaluation.py,144.394531,29.728
plot_nested_cross_validation_iris.py,140.125,10.288
plot_precision_recall.py,143.761719,1.681
plot_randomized_search.py,86.757812,155.138
plot_roc_crossval.py,142.390625,1.762
plot_roc.py,143.21875,1.817
plot_successive_halving_heatmap.py,165.808594,12.190
plot_successive_halving_iterations.py,170.84375,19.658
plot_train_error_vs_test_error.py,138.035156,4.765
plot_underfitting_overfitting.py,137.960938,1.814
plot_validation_curve.py,142.960938,11.831
plot_classifier_chain_yeast.py,185.425781,7.878
plot_caching_nearest_neighbors.py,161.542969,4.702
plot_classification.py,181.082031,4.859
plot_digits_kde_sampling.py,176.726562,9.499
plot_kde_1d.py,142.007812,1.947
plot_lof_novelty_detection.py,183.390625,2.699
plot_lof_outlier_detection.py,138.175781,1.502
plot_nca_classification.py,200.835938,54.399
plot_nca_dim_reduction.py,177.316406,4.869
plot_nca_illustration.py,142.820312,1.995
plot_nearest_centroid.py,147.496094,1.805
plot_regression.py,140.355469,1.933
plot_species_kde.py,198.390625,6.690
plot_mlp_alpha.py,377.621094,34.882
plot_mlp_training_curves.py,145.378906,8.951
plot_rbm_logistic_classification.py,182.5,18.094
plot_all_scaling.py,208.234375,10.638
plot_discretization_classification.py,171.234375,44.258
plot_discretization.py,143.917969,1.774
plot_discretization_strategies.py,165.65625,3.110
plot_map_data_to_normal.py,153.78125,4.650
plot_scaling_importance.py,144.335938,2.028
plot_release_highlights_0_22_0.py,183.542969,5.290
plot_release_highlights_0_23_0.py,153.1875,3.044
plot_release_highlights_0_24_0.py,572.417969,24.290
plot_label_propagation_digits_active_learning.py,151.308594,3.237
plot_label_propagation_digits.py,146.558594,2.236
plot_label_propagation_structure.py,141.980469,1.743
plot_self_training_varying_threshold.py,142.769531,7.681
plot_semi_supervised_versus_svm_iris.py,256.75,3.124
plot_custom_kernel.py,192.113281,1.664
plot_iris_svc.py,143.890625,2.217
plot_linearsvc_support_vectors.py,142.234375,1.645
plot_oneclass.py,141.480469,1.950
plot_rbf_parameters.py,151.945312,8.265
plot_separating_hyperplane.py,138.585938,1.562
plot_separating_hyperplane_unbalanced.py,139.328125,1.526
plot_svm_anova.py,142.101562,1.956
plot_svm_kernels.py,143.414062,1.692
plot_svm_margin.py,137.445312,1.640
plot_svm_nonlinear.py,145.257812,3.322
plot_svm_regression.py,137.320312,1.739
plot_svm_scale_c.py,142.992188,34.082
plot_svm_tie_breaking.py,324.949219,2.415
plot_weighted_samples.py,149.5625,2.041
plot_document_classification_20newsgroups.py,243.300781,7.314
plot_document_clustering.py,158.816406,2.691
plot_hashing_vs_dict_vectorizer.py,151.515625,6.443
plot_cost_complexity_pruning.py,145.011719,2.122
plot_iris_dtc.py,155.945312,2.688
plot_tree_regression_multioutput.py,142.679688,1.654
plot_tree_regression.py,139.933594,1.663
plot_unveil_tree_structure.py,143.953125,1.713
bench_feature_expansions.py,232.839844,2.807
bench_glm.py,140.574219,3.799
bench_hist_gradient_boosting_adult.py,103.179688,4.453
bench_hist_gradient_boosting_categorical_only.py,91.769531,1.811
bench_hist_gradient_boosting.py,1086.144531,27.943
bench_isolation_forest.py,1304.328125,44.976
bench_lasso.py,389.875,10.018
bench_plot_fastkmeans.py,399.449219,84.806
